dashboard_name,section_name,region_id,region_name,territory_id,territory_name,kpi_name,kpi_value,period_type
ACCOUNT_LEADS,OVERVIEW,201,East,2013,NY Metro,CRM_PATIENTS,0,LTD
ACCOUNT_LEADS,OVERVIEW,201,East,2003,MidAtlantic CTL,AVLAYAH_Medicaid_Patients,0,QTD
ACCOUNT_LEADS,OVERVIEW,201,East,2002,Northeast-PA,AVLAYAH_Unknown_Patients,0,YTD
ACCOUNT_LEADS,OVERVIEW,201,East,2005,Great Lakes-Detroit,AVLAYAH_PATIENTS_LT_5,0,MTD
ACCOUNT_LEADS,OVERVIEW,201,East,2001,New England,AVLAYAH_Medicare_Patients,0,LTD
ACCOUNT_LEADS,OVERVIEW,202,West,2010,Southern Cal,AVLAYAH_Commercial_Patients,0,QTD
ACCOUNT_LEADS,OVERVIEW,201,East,2004,Southeast-ATL,AVLAYAH_PATIENTS_5_10,0,YTD
ACCOUNT_LEADS,OVERVIEW,202,West,2009,Southwest,AVLAYAH_PATIENTS_17_PLUS,0,MTD
ACCOUNT_LEADS,OVERVIEW,202,West,2006,Midwest,ELAPRASE_LT_5,2,QTD
ACCOUNT_LEADS,OVERVIEW,202,West,2012,Pac Northwest,ELAPRASE_17_PLUS,6,YTD
ACCOUNT_LEADS,OVERVIEW,202,West,2011,Southcentral,HCO_ORDERED,0,MTD
ACCOUNT_LEADS,OVERVIEW,201,East,2013,NY Metro,SP_VIALS,0,LTD
ACCOUNT_LEADS,OVERVIEW,201,East,2003,MidAtlantic CTL,HCO_VIALS,1,QTD
ACCOUNT_LEADS,OVERVIEW,201,East,2002,Northeast-PA,Avlayah_SP,0,YTD
ACCOUNT_LEADS,OVERVIEW,201,East,2005,Great Lakes-Detroit,Avlayah_CRM,0,MTD
ACCOUNT_LEADS,OVERVIEW,201,East,2001,New England,AVLAYAH_PATIENTS_11_16,0,LTD
ACCOUNT_LEADS,OVERVIEW,202,West,2010,Southern Cal,Severe_Avlayah,0,QTD
ACCOUNT_LEADS,OVERVIEW,201,East,2004,Southeast-ATL,ELAPRASE_5_10,4,YTD
ACCOUNT_LEADS,OVERVIEW,202,West,2009,Southwest,ELAPRASE_11_16,3,MTD
ACCOUNT_LEADS,OVERVIEW,202,West,2006,Midwest,TOTAL_VIALS,26,QTD
ACCOUNT_LEADS,OVERVIEW,202,West,2012,Pac Northwest,Avlayah_Claims,0,YTD
ACCOUNT_LEADS,OVERVIEW,202,West,2011,Southcentral,Avlayah_HUB,0,MTD
ACCOUNT_LEADS,OVERVIEW,201,East,2013,NY Metro,CRM_PATIENTS,0,QTD
ACCOUNT_LEADS,OVERVIEW,201,East,2003,MidAtlantic CTL,AVLAYAH_Medicaid_Patients,0,YTD
ACCOUNT_LEADS,OVERVIEW,201,East,2002,Northeast-PA,AVLAYAH_Unknown_Patients,0,MTD
ACCOUNT_LEADS,OVERVIEW,201,East,2005,Great Lakes-Detroit,AVLAYAH_PATIENTS_LT_5,0,LTD
ACCOUNT_LEADS,OVERVIEW,201,East,2001,New England,AVLAYAH_Medicare_Patients,0,QTD
ACCOUNT_LEADS,OVERVIEW,202,West,2010,Southern Cal,AVLAYAH_Commercial_Patients,0,YTD
ACCOUNT_LEADS,OVERVIEW,201,East,2004,Southeast-ATL,AVLAYAH_PATIENTS_5_10,0,MTD
ACCOUNT_LEADS,OVERVIEW,202,West,2009,Southwest,AVLAYAH_PATIENTS_17_PLUS,0,LTD
ACCOUNT_LEADS,OVERVIEW,202,West,2006,Midwest,ELAPRASE_LT_5,2,YTD
ACCOUNT_LEADS,OVERVIEW,202,West,2012,Pac Northwest,ELAPRASE_17_PLUS,6,MTD
ACCOUNT_LEADS,OVERVIEW,202,West,2011,Southcentral,HCO_ORDERED,0,LTD
ACCOUNT_LEADS,OVERVIEW,201,East,2013,NY Metro,SP_VIALS,0,QTD
ACCOUNT_LEADS,OVERVIEW,201,East,2003,MidAtlantic CTL,HCO_VIALS,1,YTD
ACCOUNT_LEADS,OVERVIEW,201,East,2002,Northeast-PA,Avlayah_SP,0,MTD
ACCOUNT_LEADS,OVERVIEW,201,East,2005,Great Lakes-Detroit,Avlayah_CRM,0,LTD
